127.0.0.1 - - [04/Nov/2018:20:22:50 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:04 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:04 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/css/animate.css HTTP/1.1" 200 25427
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/img/RecieptHand.png HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/img/MoneyHand.png HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:12 -0500] "GET /ERS/img/Background.jpg HTTP/1.1" 200 148188
0:0:0:0:0:0:0:1 - - [04/Nov/2018:20:28:13 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Nov/2018:22:10:04 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 405 1050
0:0:0:0:0:0:0:1 - - [04/Nov/2018:22:11:11 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2018:22:14:17 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2018:22:19:32 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 200 -
