127.0.0.1 - - [06/Nov/2018:22:55:19 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:55:31 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:55:31 -0500] "GET /ERS/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:55:44 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:55:47 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:56:30 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:56:30 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:56:31 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:58:18 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:58:18 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10861
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:58:33 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:58:55 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:58:56 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10861
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:59:03 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:59:06 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:59:16 -0500] "PUT /ERS/updateReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:22:59:17 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:29 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:29 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10976
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:29 -0500] "GET /ERS/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:41 -0500] "POST /ERS/login HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:42 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:08:43 -0500] "POST /ERS/reimburse HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:09:40 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:09:40 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10952
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:09:50 -0500] "POST /ERS/login HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:09:52 -0500] "POST /ERS/reimburse HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:10:21 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:10:21 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10954
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:10:33 -0500] "POST /ERS/login HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:10:35 -0500] "POST /ERS/reimburse HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:11:16 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:11:16 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10993
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:11:27 -0500] "POST /ERS/login HTTP/1.1" 500 1584
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:11:39 -0500] "POST /ERS/login HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:11:41 -0500] "POST /ERS/reimburse HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:29 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:29 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 10993
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:45 -0500] "POST /ERS/login HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:47 -0500] "POST /ERS/reimburse HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:54 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:12:54 -0500] "GET /ERS/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:13:03 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:13:07 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:27:35 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:27:35 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 11046
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:27:48 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:27:49 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:27:50 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:28:22 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:28:22 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:28:38 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:28:39 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:28:40 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:31 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:31 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:31 -0500] "GET /ERS/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:43 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:44 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:36:45 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:37:18 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:37:18 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:37:33 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:37:35 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:38:30 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:38:30 -0500] "GET /ERS/js/index.js HTTP/1.1" 200 11511
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:38:39 -0500] "POST /ERS/login HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:38:40 -0500] "GET /ERS/reimbursement.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:38:42 -0500] "POST /ERS/reimburse HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:39:31 -0500] "POST /ERS/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:39:33 -0500] "POST /ERS/reimburse HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:39:45 -0500] "GET /ERS/create.view HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:39:49 -0500] "GET /ERS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2018:23:39:50 -0500] "GET /ERS/js/index.js HTTP/1.1" 304 -
